month,long_ticker,short_ticker,cluster,mom1_diff
2017-06-01,NKE,AAPL,0,0.11146709137565591
2017-06-01,NKE,SBUX,0,0.10714528158588332
2017-06-01,NKE,MSFT,0,0.06968915678321008
2017-06-01,META,AMZN,1,0.06722324488321574
2017-06-01,META,GOOGL,1,0.05962516787861505
2017-06-01,GOOGL,AMZN,1,0.00759807700460069
2017-06-01,COST,MCD,2,0.02091480898621212
2017-06-01,PG,CL,3,0.051238907227403985
2017-06-01,PEP,KO,4,0.01515670293936977
2017-06-01,T,VZ,5,0.043647767845968466
2017-06-01,CSCO,INTC,6,0.08073931113434973
2017-06-01,HON,BA,7,0.00354733374529026
2017-06-01,JPM,USB,8,0.04820747453666552
2017-06-01,GS,USB,8,0.04528418660331557
2017-06-01,WFC,USB,8,0.035878885663228166
2017-06-01,AMD,ETN,9,0.18965533618333008
2017-06-01,AMD,CAT,9,0.18949431437227127
2017-06-01,AMD,EMR,9,0.14747961979815183
2017-06-01,UNH,ABT,10,0.04463044460041643
2017-06-01,UNH,TMO,10,0.043272275149772055
2017-06-01,MDT,ABT,10,0.03205499053345373
2017-06-01,LLY,ABBV,11,0.02529611425562961
2017-06-01,CVX,XOM,12,0.015585608633424175
2017-06-01,KMI,EOG,13,0.06698474261810428
2017-06-01,KMI,SLB,13,0.05623624528566262
2017-06-01,COP,EOG,13,0.03829613909010854
2017-06-01,SRE,PPL,14,0.016325780021216207
2017-06-01,PEG,AEP,15,0.04796235879908983
2017-06-01,EIX,AEP,15,0.047441594552211974
2017-06-01,PEG,NEE,15,0.047084536215342254
2017-07-01,SBUX,MSFT,0,0.07028801791527861
2017-07-01,AAPL,MSFT,0,0.04409113439559831
2017-07-01,SBUX,AAPL,0,0.026196883519680303
2017-07-01,GOOGL,META,1,0.055062267318693126
2017-07-01,GOOGL,AMZN,1,0.03146743062295343
2017-07-01,AMZN,META,1,0.023594836695739696
2017-07-01,TMUS,HD,2,0.10020815809699479
2017-07-01,COST,MCD,3,0.13482164250849882
2017-07-01,CL,PG,4,0.018534060472845892
2017-07-01,PEP,KO,5,0.006223222933713801
2017-07-01,VZ,T,6,0.02156709454257888
2017-07-01,INTC,CSCO,7,0.058329502978626935
2017-07-01,HON,BA,8,0.051552377954829254
2017-07-01,RTX,BA,8,0.04717331109921141
2017-07-01,MMM,BA,8,0.03576331642598474
2017-07-01,GE,AMD,9,0.1204060109089028
2017-07-01,ITW,AMD,9,0.09606689921289191
2017-07-01,GE,ITW,9,0.024339111696010884
2017-07-01,USB,JPM,10,0.08678389869751224
2017-07-01,GS,JPM,10,0.06217735952533099
2017-07-01,USB,WFC,10,0.057651836958068525
2017-07-01,ETN,CAT,11,0.013695529619700553
